JUSTIN_VILLAGE_NAME,JID,VILLAGE_ALT_1,VILLAGE_ALT_2,VILLAGE_ALT_3,LGD_VILLAGE_CODE,SDC,SDN,DN,LGD_CODE,CENSUS_2011_CODE,CENSUS_2011_CODE2
Aglote,53,,,,626973,05931,Dharbandora,South Goa,626973,626973,0
Assodem,258,,,,626836,05613,Satari,North Goa,626836,626836,0
Adnem,488,,,,626948,05617,Quepem,South Goa,626948,626948,0
Cavorem,489,,,,626956,05617,Quepem,South Goa,626956,626956,0
Adsulim,131,,,,626906,05616,Salcete,South Goa,626906,626906,0
Advoi,274,,,,626825,05613,Satari,North Goa,626825,626825,0
Adwalpale,80,,,,626745,05612,Bicholim,North Goa,626745,626745,0
Durbhat,319,,,,626856,05614,Ponda,South Goa,626856,626856,0
Agarvado,338,,,,626657,05609,Pernem,North Goa,626657,626657,0
Azossim,257,,,,626719,05611,Tiswadi,North Goa,626719,626719,0
Aquem,71,Aquem (CT),,,626929,05616,Salcete,South Goa,626929,626929,0
Alorna,266,,,,626649,05609,Pernem,North Goa,626649,626649,0
Ambaulim,62,,,,626947,05617,Quepem,South Goa,626947,626947,0
Ambedem,356,,,,626803,05613,Satari,North Goa,626803,626803,0
Nagargao,355,,,,626804,05613,Satari,North Goa,626804,626804,0
Ambeli,252,,,,626839,05613,Satari,North Goa,626839,626839,0
Amone,298,,,,626758,05612,Bicholim,North Goa,626758,626758,0
Anjuna,335,Anjuna (CT),,,626694,05610,Bardez,North Goa,626694,626694,0
Anjunem,154,,,,626770,05613,Satari,North Goa,626770,626770,0
Antoriem,144,,,,626986,05618,Sanguem,South Goa,626986,626986,0
Arambol,110,Arambol (CT),,,626658,05609,Pernem,North Goa,626658,626658,0
Arossim,185,,,,626884,05615,Mormugao,South Goa,626884,626884,0
Arpora,105,,,,626673,05610,Bardez,North Goa,626673,626673,0
Assagao,157,,,,626672,05610,Bardez,North Goa,626672,626672,0
Assonora,409,,,,626668,05610,Bardez,North Goa,626668,626668,0
Moitem,408,,,,626667,05610,Bardez,North Goa,626667,626667,0
Assolda,132,,,,626934,05617,Quepem,South Goa,626934,626934,0
Assolna,115,,,,626919,05616,Salcete,South Goa,626919,626919,0
Aturli,165,,,,626754,05612,Bicholim,North Goa,626754,626754,0
Avedem,128,,,,626939,05617,Quepem,South Goa,626939,626939,0
